2017-10-09 23:58:02 INFO  LibServer:111 - Output to 127.0.0.1:59618 The Title Does Not Exists! Please add it to the library

@2017-10-09 23:58:02 INFO  LibServer:102 - Input from 127.0.0.1:59618 Create Title
@2017-10-09 23:58:02 INFO  LibServer:111 - Output to 127.0.0.1:59618 Your input should in this format:'ISBN,title',ISBN should be a 13-digit number

@2017-10-09 23:58:02 INFO  LibServer:102 - Input from 127.0.0.1:59618 3731442668584,book
@2017-10-09 23:58:02 INFO  String:49 - Operation:Create New Title;Title Info:[3731442668584,book];State:Success
@2017-10-09 23:58:02 INFO  LibServer:111 - Output to 127.0.0.1:59618 Success!

@2017-10-09 23:58:02 INFO  LibServer:102 - Input from 127.0.0.1:59618 Create Item
@2017-10-09 23:58:02 INFO  LibServer:111 - Output to 127.0.0.1:59618 Please Input Item Info:'ISBN'

@2017-10-09 23:58:02 INFO  LibServer:102 - Input from 127.0.0.1:59618 3731442668584
@2017-10-09 23:58:02 INFO  String:49 - Operation:Create New Item;Item Info:[3731442668584,1];State:Success
@2017-10-09 23:58:02 INFO  LibServer:111 - Output to 127.0.0.1:59618 ISBN#: 3731442668584 Book title: book

@2017-10-09 23:58:02 INFO  ServerThread:61 - Class: ServerThread: Exception thrown : Socket closed 

@2017-10-09 23:58:02 INFO  LibServer:72 - Client accepted : Client Address : [/127.0.0.1:59619] Client Socket: [59619 ]

@2017-10-09 23:58:02 INFO  LibClient:32 - 59619 : Connected to server: /127.0.0.1
@2017-10-09 23:58:02 INFO  LibServer:63 - Waiting for a client ...
@2017-10-09 23:58:02 INFO  LibClient:33 - 59619 : Connected to portid: 59619
@2017-10-09 23:58:02 INFO  LibServer:102 - Input from 127.0.0.1:59619 Hello
@2017-10-09 23:58:02 INFO  LibServer:119 - Output to 127.0.0.1:59619 Who Are you?Clerk or User?

@2017-10-09 23:58:02 INFO  LibServer:102 - Input from 127.0.0.1:59619 Clerk
@2017-10-09 23:58:02 INFO  LibServer:111 - Output to 127.0.0.1:59619 Please Input The Password:

@2017-10-09 23:58:02 INFO  LibServer:102 - Input from 127.0.0.1:59619 admin
@2017-10-09 23:58:02 INFO  LibServer:111 - Output to 127.0.0.1:59619 What can I do for you?Menu:Create User/Title/Item,Delete User/Title/Item,Monitor System.

@2017-10-09 23:58:02 INFO  LibServer:102 - Input from 127.0.0.1:59619 Create Item
@2017-10-09 23:58:02 INFO  LibServer:111 - Output to 127.0.0.1:59619 Please Input Item Info:'ISBN'

@2017-10-09 23:58:02 INFO  LibServer:102 - Input from 127.0.0.1:59619 9781442668584
@2017-10-09 23:58:02 INFO  String:49 - Operation:Create New Item;Item Info:[9781442668584,2];State:Success
@2017-10-09 23:58:02 INFO  LibServer:111 - Output to 127.0.0.1:59619 ISBN#: 9781442668584 Book title: Harry Potter

@2017-10-09 23:58:02 INFO  ServerThread:61 - Class: ServerThread: Exception thrown : Socket closed 

@2017-10-09 23:58:02 INFO  LibServer:34 - Binding to port 5050
@2017-10-09 23:58:02 FATAL LibServer:40 - java.net.BindException: Address already in use: JVM_Bind
@2017-10-09 23:58:02 INFO  LibServer:48 - Server started: null 18
@2017-10-09 23:58:02 INFO  LibServer:63 - Waiting for a client ...
@2017-10-09 23:58:02 INFO  LibServer:72 - Client accepted : Client Address : [/127.0.0.1:59620] Client Socket: [59620 ]

@2017-10-09 23:58:02 INFO  LibServer:63 - Waiting for a client ...
@2017-10-09 23:58:02 INFO  LibClient:32 - 59620 : Connected to server: /127.0.0.1
@2017-10-09 23:58:02 INFO  LibClient:33 - 59620 : Connected to portid: 59620
@2017-10-10 00:02:40 INFO  LibServer:34 - Binding to port 5050
@2017-10-10 00:02:40 INFO  LibServer:63 - Waiting for a client ...
@2017-10-10 00:02:40 INFO  LibServer:48 - Server started: ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5050] 10
@2017-10-10 00:02:40 INFO  String:25 - Operation:Initialize UserTable;UserTable: [[0,Rob@carleton.ca,Rob], [1,Jenny@carleton.ca,Jenny], [2,Alice@carleton.ca,Alice], [3,John@carleton.ca,John], [4,Gail@carleton.ca,Gail]]
@2017-10-10 00:02:40 INFO  String:28 - Operation:Initialize TitleTable;TitleTable: [[9781442668584,Harry Potter], [9781442616899,Percy Jackson], [9781442667181,Silence of the Lambs], [9781611687910,Lord of the Rings], [9781317594277,Atlas Shrugged]]
@2017-10-10 00:02:40 INFO  String:27 - Operation:Initialize ItemTable;ItemTable: [[0,9781442668584,1], [1,9781442616899,1], [2,9781442667181,1], [3,9781611687910,1]]
@2017-10-10 00:02:40 INFO  String:27 - Operation:Initialize LoanTable;LoanTable: [[4,9781442668584,1,2017-10-10 12:02:40,0]]
@2017-10-10 00:02:40 INFO  String:81 - Operation:Apply OutStanding Fee;Fee Info:[4,0];State:Success
@2017-10-10 00:02:40 INFO  String:91 - Operation:Initialize FeeTable;FeeTable: [[0,5], [4,0]]
@2017-10-10 00:03:06 INFO  LibServer:72 - Client accepted : Client Address : [/127.0.0.1:59638] Client Socket: [59638 ]

@2017-10-10 00:03:06 INFO  LibServer:63 - Waiting for a client ...
@2017-10-10 00:03:06 INFO  LibClient:32 - 59638 : Connected to server: /127.0.0.1
@2017-10-10 00:03:06 INFO  LibClient:33 - 59638 : Connected to portid: 59638
@2017-10-10 00:03:16 INFO  LibServer:102 - Input from 127.0.0.1:59638 hello
@2017-10-10 00:03:16 INFO  LibServer:119 - Output to 127.0.0.1:59638 Who Are you?Clerk or User?

@2017-10-10 00:03:18 INFO  LibServer:102 - Input from 127.0.0.1:59638 clerk
@2017-10-10 00:03:18 INFO  LibServer:111 - Output to 127.0.0.1:59638 Please Input The Password:

@2017-10-10 00:03:45 INFO  LibServer:102 - Input from 127.0.0.1:59638 admin
@2017-10-10 00:03:45 INFO  LibServer:111 - Output to 127.0.0.1:59638 What can I do for you?Menu:Create User/Title/Item,Delete User/Title/Item,Monitor System.

@2017-10-10 00:03:51 INFO  LibServer:102 - Input from 127.0.0.1:59638 monitor system
@2017-10-10 00:03:51 INFO  LibServer:111 - Output to 127.0.0.1:59638 Book titles in library:[Harry Potter, Percy Jackson, Silence of the Lambs, Lord of the Rings, Atlas Shrugged]
Users in the library:[Rob@carleton.ca, Jenny@carleton.ca, Alice@carleton.ca, John@carleton.ca, Gail@carleton.ca]

@2017-10-10 00:04:01 INFO  LibServer:102 - Input from 127.0.0.1:59638 
@2017-10-10 00:04:01 INFO  LibServer:111 - Output to 127.0.0.1:59638 Please select from the menu.Menu:Create User/Title/Item,Delete User/Title/Item,Monitor System

